"DateTime","Depth","Temp"
2015-05-07 09:02:03,0.6,11.65
2015-05-07 09:02:50,1,11.34
2015-05-07 09:03:28,2,11.02
2015-05-07 09:04:25,4,10.86
2015-05-07 09:05:17,6,10.75
2015-05-07 09:06:48,8,9.23
2015-05-07 09:09:21,10,8.09
2015-05-07 09:10:06,12,7.42
2015-05-07 09:10:52,14,7.16
2015-05-07 09:11:34,16,6.77
2015-05-07 09:12:32,18,6.54
2015-05-07 09:13:14,20,6.39
2015-05-07 09:14:02,22,6.34
2015-05-07 09:14:44,24,6.33
2015-05-07 09:15:18,26,6.27
2015-05-07 09:15:56,28,6.16
2015-05-07 09:17:41,9,8.04
2015-05-07 09:19:03,7,9.34
2015-05-07 09:20:56,5,10.35
2015-05-07 09:21:36,3,10.7
2015-05-14 09:19:59,0.5,15.03
2015-05-14 09:20:31,1,15.01
2015-05-14 09:21:19,2,15.02
2015-05-14 09:21:49,3,14.95
2015-05-14 09:22:27,4,14.67
2015-05-14 09:22:53,5,14.59
2015-05-14 09:23:40,6,11.61
2015-05-14 09:25:00,7,10
2015-05-14 09:25:32,8,8.68
2015-05-14 09:27:00,9,7.88
2015-05-14 09:27:38,10,7.56
2015-05-14 09:28:06,11,7.5
2015-05-14 09:28:36,12,7.47
2015-05-14 09:29:28,14,7.29
2015-05-14 09:30:40,16,7.02
2015-05-14 09:31:23,18,6.91
2015-05-14 09:32:00,20,6.79
2015-05-14 09:33:06,22,6.7
2015-05-14 09:34:07,24,6.58
2015-05-14 09:35:01,26,6.55
2015-05-14 09:35:39,28,6.42
2015-05-19 13:56:32,0.5,18.61
2015-05-19 13:57:36,1,18.17
2015-05-19 13:58:43,2,17.67
2015-05-19 14:00:15,3,16.39
2015-05-19 14:01:35,3.4,11.97
2015-05-19 14:02:48,4,11.35
2015-05-19 14:03:32,5.1,11.32
2015-05-19 14:05:07,6,10.78
2015-05-19 14:05:50,6.9,10.12
2015-05-19 14:06:35,7.9,10.1
2015-05-19 14:07:49,9.1,10.08
2015-05-19 14:08:43,10,10.04
2015-05-19 14:09:27,11,9.8
2015-05-19 14:10:03,12,9.63
2015-05-19 14:11:30,13.1,9.28
2015-05-19 14:12:15,14.1,8.91
2015-05-19 14:13:30,15,8.67
2015-05-19 14:15:15,15.3,8.68
2015-05-21 09:36:30,0.5,16.24
2015-05-21 09:37:49,1,16.19
2015-05-21 09:39:04,2,16.17
2015-05-21 09:40:29,3,16.13
2015-05-21 09:41:33,4,16.1
2015-05-21 09:42:31,5,16.05
2015-05-21 09:43:32,6,16.01
2015-05-21 09:45:00,6.5,13.71
2015-05-21 09:45:43,7,10.41
2015-05-21 09:47:32,8,9.25
2015-05-21 09:49:08,9,8.32
2015-05-21 09:50:04,10,8.07
2015-05-21 09:51:04,11,7.73
2015-05-21 09:52:01,12,7.55
2015-05-21 09:52:56,14,7.23
2015-05-21 09:53:52,16.1,7.1
2015-05-21 09:54:45,18,6.97
2015-05-21 09:56:04,20,6.84
2015-05-21 09:56:57,22,6.74
2015-05-21 09:57:48,24,6.64
2015-05-21 09:58:56,26,6.6
2015-05-21 09:59:35,28,6.55
2015-05-28 09:23:38,0.5,18.59
2015-05-28 09:25:02,1,18.5
2015-05-28 09:26:29,2,18.38
2015-05-28 09:28:30,3,18.31
2015-05-28 09:29:44,4,17.87
2015-05-28 09:31:09,5,17.83
2015-05-28 09:33:20,6,16.99
2015-05-28 09:34:09,7,15.64
2015-05-28 09:35:59,8,11.26
2015-05-28 09:36:53,8.5,9.2
2015-05-28 09:37:37,9,9.01
2015-05-28 09:38:38,9.5,8.73
2015-05-28 09:39:45,10,8.09
2015-05-28 09:40:32,10.5,7.84
2015-05-28 09:41:11,11,7.62
2015-05-28 09:41:56,11.5,7.6
2015-05-28 09:43:42,12,7.61
2015-05-28 09:44:21,13,7.56
2015-05-28 09:45:00,14,7.53
2015-05-28 09:45:47,15,7.49
2015-05-28 09:46:45,16,7.45
2015-05-28 09:47:20,17,7.27
2015-05-28 09:47:49,18,7.27
2015-05-28 09:49:08,19,7.25
2015-05-28 09:50:09,20,7.18
2015-05-28 09:51:14,21,7.15
2015-05-28 09:51:56,22,7.08
2015-05-28 09:52:21,23,7.07
2015-05-28 09:53:06,24,7.06
2015-05-28 09:53:37,25,6.96
2015-05-28 09:54:18,26,6.94
2015-05-28 09:58:35,28,6.74
2015-06-04 09:27:15,1,16.83
2015-06-04 09:28:29,2,16.74
2015-06-04 09:29:38,3,16.71
2015-06-04 09:31:27,4,16.54
2015-06-04 09:33:10,5,16.3
2015-06-04 09:33:36,5,16.3
2015-06-04 09:34:32,5,16.31
2015-06-04 09:36:38,6,16.13
2015-06-04 09:38:26,7,15.83
2015-06-04 09:40:09,8,15.59
2015-06-04 09:41:09,9,13.6
2015-06-04 09:43:37,9.5,12.28
2015-06-04 09:45:05,10,11.25
2015-06-04 09:47:46,10.5,10.49
2015-06-04 09:50:01,11,9.56
2015-06-04 09:50:48,12,8.62
2015-06-04 09:52:14,13,8.45
2015-06-04 09:54:37,14,8.18
2015-06-04 09:55:59,16,7.77
2015-06-04 09:58:26,18,7.49
2015-06-04 10:00:01,20,7.48
2015-06-04 10:02:34,22,7.42
2015-06-04 10:04:14,24,7.32
2015-06-04 10:06:12,26,7.05
2015-06-04 10:07:30,28,7.01
2015-06-11 09:41:34,0.5,19.46
2015-06-11 09:43:01,1,19.44
2015-06-11 09:44:29,2,19.41
2015-06-11 09:46:37,3,19.41
2015-06-11 09:47:12,4,19.31
2015-06-11 09:47:49,5,18.89
2015-06-11 09:48:25,6,18.49
2015-06-11 09:49:03,7,18.33
2015-06-11 09:49:43,8,17.65
2015-06-11 09:50:47,9,14.27
2015-06-11 09:51:45,10,11.32
2015-06-11 09:52:51,11,9.71
2015-06-11 09:53:35,12,8.55
2015-06-11 09:54:22,14,7.95
2015-06-11 09:55:01,16,7.82
2015-06-11 09:55:55,18,7.65
2015-06-11 09:56:35,20,7.55
2015-06-11 09:57:56,22,7.34
2015-06-11 09:59:11,24,7.3
2015-06-11 09:59:56,26,7.13
2015-06-11 10:00:34,28,7.1
2015-06-18 08:32:47,1,20.52
2015-06-18 08:33:40,2,20.5
2015-06-18 08:34:22,3,20.47
2015-06-18 08:35:10,4,20.42
2015-06-18 08:37:24,5,20.37
2015-06-18 08:38:17,6,20.29
2015-06-18 08:39:56,7,17.93
2015-06-18 08:40:52,8,16.18
2015-06-18 08:41:46,8.5,15.09
2015-06-18 08:43:28,9,14.49
2015-06-18 08:44:25,9.5,13.42
2015-06-18 08:45:46,10,11.67
2015-06-18 08:46:51,10.5,11.06
2015-06-18 08:48:30,11,10.48
2015-06-18 08:49:54,12,9.94
2015-06-18 08:50:51,13,8.96
2015-06-18 08:52:20,14,8.62
2015-06-18 08:53:31,16,8.2
2015-06-18 08:54:58,18,7.83
2015-06-18 08:56:53,20,7.64
2015-06-18 08:58:41,22,7.66
2015-06-18 08:59:29,24,7.48
2015-06-18 09:00:35,26,7.36
2015-06-18 09:01:57,28,7.3
2015-06-25 09:24:51,0.5,22.95
2015-06-25 09:28:17,1,22.8
2015-06-25 09:30:18,2,22.68
2015-06-25 09:31:19,3,22.63
2015-06-25 09:32:09,4,22.59
2015-06-25 09:33:07,5,22.34
2015-06-25 09:33:57,6,20.77
2015-06-25 09:36:02,6.5,18.22
2015-06-25 09:39:05,7,14.58
2015-06-25 09:39:57,7.5,14.47
2015-06-25 09:41:53,8,13.76
2015-06-25 09:43:08,8.5,13.7
2015-06-25 09:43:54,9,12.78
2015-06-25 09:44:47,10,11.8
2015-06-25 09:45:28,11,10.67
2015-06-25 09:46:34,11.5,10.41
2015-06-25 09:46:59,12,10.12
2015-06-25 09:47:55,13,9.33
2015-06-25 09:49:17,14,8.67
2015-06-25 09:50:43,16,8.09
2015-06-25 09:51:43,18,7.94
2015-06-25 09:52:45,20,7.78
2015-06-25 09:53:40,22,7.73
2015-06-25 09:54:39,24,7.58
2015-06-25 09:55:38,26,7.51
2015-06-25 09:56:16,28,7.39
2015-07-02 09:11:59,0.5,21.55
2015-07-02 09:13:14,1,21.56
2015-07-02 09:14:59,2,21.51
2015-07-02 09:15:25,3,21.48
2015-07-02 09:16:27,4,21.4
2015-07-02 09:17:11,5,21.25
2015-07-02 09:19:33,6,20.93
2015-07-02 09:21:03,7,20.89
2015-07-02 09:22:05,7.5,16.66
2015-07-02 09:26:13,8,15.08
2015-07-02 09:26:53,9,13.32
2015-07-02 09:28:02,10,11.9
2015-07-02 09:28:59,11,10.61
2015-07-02 09:29:46,12,9.84
2015-07-02 09:30:23,13,9.22
2015-07-02 09:30:58,14,8.53
2015-07-02 09:31:44,15,8.2
2015-07-02 09:32:18,16,8.08
2015-07-02 09:33:02,18,7.99
2015-07-02 09:33:38,20,7.82
2015-07-02 09:35:22,22,7.78
2015-07-02 09:36:19,24,7.68
2015-07-02 09:36:57,26,7.61
2015-07-02 09:37:41,28,7.6
2015-07-09 09:37:20,0.5,24.15
2015-07-09 09:38:04,1,24.17
2015-07-09 09:38:47,2,24.17
2015-07-09 09:39:29,3,24.11
2015-07-09 09:40:12,4,23.83
2015-07-09 09:40:42,5,23.18
2015-07-09 09:41:45,5.5,19.63
2015-07-09 09:42:24,6,19.14
2015-07-09 09:43:31,6.5,18.25
2015-07-09 09:44:20,7,16.87
2015-07-09 09:45:01,7.5,16.02
2015-07-09 09:45:44,8,15.22
2015-07-09 09:46:38,8.5,13.81
2015-07-09 09:47:37,9,13.36
2015-07-09 09:48:39,9.5,12.96
2015-07-09 09:49:29,10,12.7
2015-07-09 09:50:16,11,11.72
2015-07-09 09:51:05,12,11.08
2015-07-09 09:51:41,13,9.54
2015-07-09 09:52:44,14,9.04
2015-07-09 09:54:40,16,8.36
2015-07-09 09:55:57,18,8.01
2015-07-09 09:56:44,20,7.99
2015-07-09 09:57:15,22,7.87
2015-07-09 09:57:50,24,7.87
2015-07-09 09:58:35,26,7.73
2015-07-09 09:59:01,28,7.62
2015-07-16 08:59:55,0.5,24.34
2015-07-16 09:01:16,1,24.34
2015-07-16 09:02:22,2,24.34
2015-07-16 09:03:52,3,24.32
2015-07-16 09:04:58,4,24.3
2015-07-16 09:06:02,5,24.06
2015-07-16 09:07:06,6,20.7
2015-07-16 09:07:59,6.5,19.02
2015-07-16 09:08:56,7,18.83
2015-07-16 09:09:52,7.5,16.63
2015-07-16 09:11:05,8,14.82
2015-07-16 09:12:05,9,14.43
2015-07-16 09:12:47,10,13.81
2015-07-16 09:13:35,11,13.44
2015-07-16 09:14:12,12,11.57
2015-07-16 09:14:47,13,10.79
2015-07-16 09:15:21,14,9.73
2015-07-16 09:16:11,16,8.24
2015-07-16 09:17:06,18,8.18
2015-07-16 09:17:53,20,8.04
2015-07-16 09:18:42,22,7.93
2015-07-16 09:19:35,24,7.86
2015-07-16 09:20:17,26,7.61
2015-07-22 08:44:45,0.4,25.46
2015-07-22 08:45:28,1,25.46
2015-07-22 08:46:54,2,25.46
2015-07-22 08:47:32,3,25.44
2015-07-22 08:48:12,4,25.45
2015-07-22 08:48:55,5,25.44
2015-07-22 08:49:30,5.5,25.13
2015-07-22 08:50:36,6,20.74
2015-07-22 08:51:52,6.5,18.8
2015-07-22 08:53:14,7,17.43
2015-07-22 08:54:12,7.5,16.19
2015-07-22 08:55:34,8,15.2
2015-07-22 08:56:54,8.5,14.79
2015-07-22 08:58:23,9,14.06
2015-07-22 08:59:51,10,13.17
2015-07-22 09:00:45,11,12.15
2015-07-22 09:01:39,12,11.41
2015-07-22 09:03:49,14,8.29
2015-07-22 09:04:28,16,8.08
2015-07-22 09:05:05,18,7.96
2015-07-22 09:06:03,20,7.89
2015-07-22 09:06:58,22,7.78
2015-07-22 09:07:39,24,7.73
2015-07-22 09:08:23,28,7.59
2015-07-23 08:37:26,0.5,25.24
2015-07-23 08:39:00,1,25.24
2015-07-23 08:40:14,2,25.24
2015-07-23 08:41:25,3,25.24
2015-07-23 08:43:10,4,25.23
2015-07-23 08:45:11,5,25.22
2015-07-23 08:46:17,5.5,25.21
2015-07-23 08:47:36,6,20.72
2015-07-23 08:49:56,6.5,19.15
2015-07-23 08:51:34,7,17.48
2015-07-23 08:55:45,7.5,15.98
2015-07-23 08:58:24,8,15.23
2015-07-23 08:59:38,8.5,14.81
2015-07-23 09:03:57,9,14.15
2015-07-23 09:05:09,9.5,13.71
2015-07-23 09:07:11,10,13.23
2015-07-23 09:07:51,10.5,12.95
2015-07-23 09:08:56,11,12.51
2015-07-23 09:10:13,11.5,11.99
2015-07-23 09:10:54,12,11.61
2015-07-23 09:12:21,14,9.4
2015-07-23 09:13:51,16,8.39
2015-07-23 09:15:08,18,8.12
2015-07-23 09:16:36,20,8.01
2015-07-23 09:18:20,22,7.9
2015-07-23 09:19:26,24,7.81
2015-07-23 09:20:55,26,7.71
2015-07-23 09:22:16,28,7.6
2015-07-30 09:01:38,0.5,26.63
2015-07-30 09:03:04,1,26.65
2015-07-30 09:04:37,2,26.19
2015-07-30 09:05:32,3,25.98
2015-07-30 09:06:27,4,25.45
2015-07-30 09:07:32,5,24.61
2015-07-30 09:08:29,5.5,23.78
2015-07-30 09:09:46,6,21.39
2015-07-30 09:11:15,6.5,18.72
2015-07-30 09:12:55,7,17.02
2015-07-30 09:15:10,7.5,16.31
2015-07-30 09:16:39,8,15.42
2015-07-30 09:18:11,8.5,14.54
2015-07-30 09:19:50,9,13.88
2015-07-30 09:21:05,9.5,13.69
2015-07-30 09:22:09,10,13.42
2015-07-30 09:23:10,11,12.98
2015-07-30 09:25:13,12,11.59
2015-07-30 09:26:31,14,9.31
2015-07-30 09:27:37,16,8.29
2015-07-30 09:28:36,18,8.2
2015-07-30 09:29:44,20,8.05
2015-07-30 09:30:47,22,7.95
2015-07-30 09:31:45,24,7.87
2015-07-30 09:33:07,26,7.75
2015-07-30 09:36:21,28,7.65
2015-08-06 09:54:02,0.5,24.74
2015-08-06 09:55:28,1,24.76
2015-08-06 09:57:13,2,24.73
2015-08-06 09:58:02,3,24.7
2015-08-06 09:59:17,4,24.62
2015-08-06 10:00:07,5,24.61
2015-08-06 10:01:18,6,24.59
2015-08-06 10:02:31,6.5,24.53
2015-08-06 10:04:04,7,17.41
2015-08-06 10:04:49,7.5,15.57
2015-08-06 10:07:10,8,15
2015-08-06 10:08:51,8.5,14.53
2015-08-06 10:10:50,9,14.23
2015-08-06 10:11:50,9.5,13.91
2015-08-06 10:13:04,10,13.58
2015-08-06 10:14:24,11,12.95
2015-08-06 10:15:42,12,11.49
2015-08-06 10:16:35,13,10.36
2015-08-06 10:17:39,14,9.4
2015-08-06 10:18:49,16,8.55
2015-08-06 10:19:29,18,8.44
2015-08-06 10:20:19,20,8.19
2015-08-06 10:21:10,22,8.11
2015-08-06 10:22:31,24,7.94
2015-08-06 10:23:08,26,7.87
2015-08-06 10:23:41,28,7.82
2015-08-13 09:33:23,0.5,24.22
2015-08-13 09:34:42,1,24.17
2015-08-13 09:36:25,2,24.09
2015-08-13 09:37:55,3,24.03
2015-08-13 09:39:10,4,24.01
2015-08-13 09:41:55,5,23.97
2015-08-13 09:43:31,6,23.83
2015-08-13 09:45:55,6,23.81
2015-08-13 09:47:42,6.5,22.78
